Actor name,Gender,Height,Ethnicity,Age at First Release,Success Score,University,Theater,Sports,Birth City,Citizenship,Number of Children,Birth Year,Birth Month,uni_rank,Ranked Uni,Usable Uni Rank,Specialised Drama School,Specialised Acting School,Specialised Dance School,Specialised Arts School
Sylvester Stallone,M,1.77,Italian Americans,35.0,7.55190969233797,University of Miami,False,Dance,New York City US,,5.0,1946.0,July,278,1,278,0,0,0,0
Steve Carell,M,1.75,White people,29.0,7.517168667990591,sub 1500 school,False,,Concord Massachusetts US,,2.0,1962.0,August,Not Ranked,0,3000,0,0,0,0
Jack Nicholson,M,1.77,Italian Americans,43.0,7.505648563653159,Did not go,True,,Neptune City New Jersey US,,6.0,1937.0,April,Not Ranked,0,3000,0,0,0,0
Val Kilmer,M,1.83,Scottish Americans,24.0,7.47897833579393,Specialised Music School,False,,Los Angeles California US,,2.0,1959.0,December,Not Ranked,0,3000,0,0,0,0
Harry Shearer,M,1.67,Jewish people,39.0,7.397152670160724,"University of California, Los Angeles (UCLA)",True,,Los Angeles California US,,,1943.0,December,29,1,29,0,0,0,0
Hugh Jackman,M,1.89,Australians,31.0,7.390428940594029,University of Technology Sydney,True,,Sydney New South Wales Australia,AustraliaUnited Kingdom,2.0,1968.0,October,90,1,90,0,0,0,0
Wesley Snipes,M,1.753,African Americans,26.0,7.356717720539104,sub 1500 school,False,Martial arts,Orlando Florida US,,6.0,1962.0,July,Not Ranked,0,3000,0,0,0,0
Halle Berry,F,1.68,White people,25.0,7.338531839962864,sub 1500 school,False,,Cleveland Ohio US,,2.0,1966.0,August,Not Ranked,0,3000,0,0,0,0
Jean-Claude Van Damme,M,1.78,,23.0,7.33322848242876,Did not go,False,Martial arts,,,3.0,1960.0,October,Not Ranked,0,3000,0,0,0,0
Edward Norton,M,1.83,,26.0,7.317067339807274,Yale University,True,,Boston Massachusetts US,,1.0,1969.0,August,16,1,16,0,0,0,0
Ewan McGregor,M,1.79,Scottish people,22.0,7.269085054619262,Specialised Drama School,True,,Perth Scotland,"United Kingdom, United States",5.0,1971.0,March,Not Ranked,0,3000,1,0,0,0
John Ratzenberger,M,1.75,,35.0,7.199749780347181,Specialised Arts School,False,,Bridgeport Connecticut US,,2.0,1947.0,April,Not Ranked,0,3000,0,0,0,1
Jeff Bridges,M,1.85,,30.0,7.196568454918371,Did not go,False,,Los Angeles California US,,3.0,1949.0,December,Not Ranked,0,3000,0,0,0,0
Dennis Quaid,M,1.83,Cajun,26.0,7.170899474935617,University of Houston,False,Dance,Houston Texas US,,3.0,1954.0,April,641,1,641,0,0,0,0
Helena Bonham Carter,F,1.6,English people,19.0,7.156795152733395,Did not go,False,,Islington London England,,2.0,1966.0,May,Not Ranked,0,3000,0,0,0,0
Scarlett Johansson,F,1.63,Ashkenazi Jews,11.0,7.152287507877005,Did not go,True,Dance,New York City US,United StatesDenmark,2.0,1984.0,November,Not Ranked,0,3000,0,0,0,0
Tommy Lee Jones,M,1.83,,36.0,7.13333454170402,Harvard University,False,,San Saba Texas US,,2.0,1946.0,September,4,1,4,0,0,0,0
Martin Lawrence,M,1.71,African Americans,26.0,7.132028277894992,Did not go,False,,Frankfurt,,3.0,1965.0,April,Not Ranked,0,3000,0,0,0,0
Catherine O%27Hara,F,1.63,Canadian Americans,29.0,7.125179133027009,Did not go,True,,Toronto Ontario Canada,CanadaUnited States,2.0,1954.0,March,Not Ranked,0,3000,0,0,0,0
Bruce McGill,M,1.76,,38.0,7.102583425710106,University of Texas Dallas,False,,San Antonio Texas US,,,1950.0,July,520,1,520,0,0,0,0
Jackie Chan,M,1.74,Hongkongers,27.0,6.991324874480819,Specialised Drama School,True,Martial arts,Hong Kong,,,1954.0,April,Not Ranked,0,3000,1,0,0,0
James Cromwell,M,2.01,,44.0,6.988589406849584,Carnegie Mellon University,True,Tennis,Los Angeles California US,,3.0,1940.0,January,52,1,52,0,0,0,0
Hugo Weaving,M,1.88,,35.0,6.987010773581546,Specialised Drama School,False,,Ibadan British Nigeria,,2.0,1960.0,April,Not Ranked,0,3000,1,0,0,0
Steve Martin,M,1.83,,36.0,6.972567264564901,California State University Long Beach,True,,Waco Texas,,1.0,1945.0,August,1401,1,1401,0,0,0,0
Steve Zahn,M,1.71,,26.0,6.966010937738587,Harvard University,True,Dance,Marshall Minnesota US,,2.0,1967.0,November,4,1,4,0,0,0,0
John Goodman,M,1.88,White Americans,31.0,6.962529269882915,sub 1500 school,True,Football,Affton Missouri US,,1.0,1952.0,June,Not Ranked,0,3000,0,0,0,0
Kate Beckinsale,F,1.7,English people,19.0,6.954370077599975,University of Oxford,True,,London England,,1.0,1973.0,July,3,1,3,0,0,0,0
Liev Schreiber,M,1.91,Jewish people,27.0,6.938946650166665,Yale University,False,,San Francisco California US,,3.0,1967.0,October,16,1,16,0,0,0,0
Ben Stiller,M,1.73,Jewish people,22.0,6.91285954253486,"University of California, Los Angeles (UCLA)",True,,New York City US,,2.0,1965.0,November,29,1,29,0,0,0,0
Justin Long,M,1.74,White Americans,21.0,6.908168972841124,Vassar College,True,,Fairfield Connecticut US,,,1978.0,June,Not Ranked,0,3000,0,0,0,0
Will Ferrell,M,1.91,,29.0,6.890997426844653,University of Southern California,False,Soccer,Irvine California US,,3.0,1967.0,July,116,1,116,0,0,0,0
Tony Shalhoub,M,1.772,Arab Americans,36.0,6.886852708891295,Yale University,False,,Green Bay Wisconsin US,,2.0,1953.0,October,16,1,16,0,0,0,0
Bill Nighy,M,1.88,English people,53.0,6.875027851261173,Specialised Acting School,True,Dance,Caterham Surrey England,,,1949.0,December,Not Ranked,0,3000,0,1,0,0
Jet Li,M,1.676,,35.0,6.846453149878455,Did not go,False,Martial arts,Beijing China,,4.0,1963.0,April,Not Ranked,0,3000,0,0,0,0
Seth Rogen,M,1.797,Jewish people,18.0,6.843406333658884,Did not go,False,,Vancouver British Columbia Canada,"Canada, United States",,1982.0,April,Not Ranked,0,3000,0,0,0,0
Greg Kinnear,M,1.765,White Americans,31.0,6.84086948140622,The University of Arizona,False,Football,Logansport Indiana US,,3.0,1963.0,June,285,1,285,0,0,0,0
Keith David,M,1.88,African Americans,26.0,6.840042891857433,Specialised Music School,False,,New York City US,,3.0,1956.0,June,Not Ranked,0,3000,0,0,0,0
Daniel Radcliffe,M,1.66,English people,11.0,6.821048218198468,Did not go,False,,London England,,1.0,1989.0,July,Not Ranked,0,3000,0,0,0,0
Jason Bateman,M,1.8,,18.0,6.8181417860398685,Did not go,False,,Rye New York US,,2.0,1969.0,January,Not Ranked,0,3000,0,0,0,0
Julia Roberts,F,1.75,English Americans,20.0,6.810305207070956,Did not go,True,,Smyrna Georgia US,,3.0,1967.0,October,Not Ranked,0,3000,0,0,0,0
Ian McKellen,M,1.8,,44.0,6.797302891410213,University of Cambridge,True,,Burnley Lancashire England,,,1939.0,May,2,1,2,0,0,0,0
Sharon Stone,F,1.74,Irish Americans,23.0,6.767340939933983,Did not go,False,,Meadville Pennsylvania US,,3.0,1958.0,March,Not Ranked,0,3000,0,0,0,0
Oliver Platt,M,1.92,Canadian Americans,28.0,6.766197601303641,Tufts University,True,,Windsor Ontario Canada,,3.0,1960.0,January,379,1,379,0,0,0,0
Jon Favreau,M,1.83,Italians,27.0,6.7644645959730605,sub 1500 school,True,,New York City US,,3.0,1966.0,October,Not Ranked,0,3000,0,0,0,0
Mel Gibson,M,1.77,Australian Americans,28.0,6.755483552995625,Specialised Drama School,False,,Peekskill New York US,United StatesIreland12,9.0,1956.0,January,Not Ranked,0,3000,1,0,0,0
Kurt Russell,M,1.78,,30.0,6.754952225291223,Did not go,False,Baseball,Springfield Massachusetts US,,2.0,1951.0,March,Not Ranked,0,3000,0,0,0,0
Alan Tudyk,M,1.83,,28.0,6.743781013321121,Specialised Music School,True,,El Paso Texas US,,,1971.0,March,Not Ranked,0,3000,0,0,0,0
Sandra Bullock,F,1.71,,28.0,6.738275207190205,sub 1500 school,True,Ballet,Arlington County Virginia US,United StatesGermany,2.0,1964.0,July,Not Ranked,0,3000,0,0,0,0
Ray Liotta,M,1.83,Italian Americans,28.0,6.729521198022734,University of Miami,True,Baseball,Newark New Jersey US,,1.0,1954.0,December,278,1,278,0,0,0,0
Angelina Jolie,F,1.73,Slovak Americans,20.0,6.725789688064578,Did not go,True,,Los Angeles California US,"United States, Cambodiab",6.0,1975.0,June,Not Ranked,0,3000,0,0,0,0
Will Smith,M,1.88,African Americans,24.0,6.724802052439553,Did not go,False,,Philadelphia Pennsylvania US,,3.0,1968.0,September,Not Ranked,0,3000,0,0,0,0
Kevin Kline,M,1.88,German Americans,35.0,6.722203673849374,Indiana University Bloomington,True,,St Louis Missouri US,,,1947.0,October,313,1,313,0,0,0,0
Anne Hathaway,F,1.73,White people,20.0,6.718848834040433,York University,True,Soccer,New York City US,,2.0,1982.0,November,353,1,353,0,0,0,0
Maggie Smith,F,1.651,English people,46.0,6.717731908281733,Specialised Acting School,True,,Ilford Essex England,,,1934.0,December,Not Ranked,0,3000,0,1,0,0
John Leguizamo,M,1.73,Hispanic and Latino Americans,25.0,6.712991058984781,Did not go,True,,Bogotá Colombia,ColombiaUnited States,2.0,1964.0,July,Not Ranked,0,3000,0,0,0,0
Patrick Swayze,M,1.78,White people,30.0,6.705103869580478,Did not go,False,Dance,Houston Texas US,,,1952.0,August,Not Ranked,0,3000,0,0,0,0
Jason Statham,M,1.75,,33.0,6.6845693723263055,Did not go,False,Football,Shirebrook England,,2.0,1967.0,September,Not Ranked,0,3000,0,0,0,0
Luis Guzmán,M,1.71,Stateside Puerto Ricans,31.0,6.682296286823241,American University,True,,Cayey Puerto Rico,,,1956.0,August,791,1,791,0,0,0,0
Robert Redford,M,1.75,English people,47.0,6.661388238906797,University of Colorado Boulder,False,Baseball,Santa Monica California US,,4.0,1936.0,August,264,1,264,0,0,0,0
John C. Reilly,M,1.87,Lithuanian Americans,24.0,6.654605985901279,sub 1500 school,True,,Chicago Illinois US,,2.0,1965.0,May,Not Ranked,0,3000,0,0,0,0
Joan Cusack,F,1.75,Irish Americans,21.0,6.652161063520476,University of Wisconsin-Madison,False,,New York City US,,2.0,1962.0,October,102,1,102,0,0,0,0
Juliette Lewis,F,1.68,,15.0,6.640762334400893,sub 1500 school,False,,Los Angeles California US,,,1973.0,June,Not Ranked,0,3000,0,0,0,0
David Spade,M,1.7,,29.0,6.631514232330083,Arizona State University,False,,Birmingham Michigan,,1.0,1964.0,July,179,1,179,0,0,0,0
Kevin Dunn,M,1.78,,34.0,6.621883714435534,Wesleyan University,True,Football,Chicago Illinois US,,1.0,1956.0,August,851,1,851,0,0,0,0
Cary Elwes,M,1.83,Anglo-Irish people,24.0,6.621734503461305,sub 1500 school,True,,Westminster London England,,1.0,1962.0,October,Not Ranked,0,3000,0,0,0,0
Brad Pitt,M,1.8,,23.0,6.578643665236152,"University of Missouri, Kansas City",False,Tennis,Shawnee Oklahoma US,,6.0,1963.0,December,1001,1,1001,0,0,0,0
Ethan Suplee,M,1.854,White Americans,19.0,6.573602498216039,Did not go,True,Football,New York City US,,4.0,1976.0,May,Not Ranked,0,3000,0,0,0,0
Josh Hartnett,M,1.91,Swedes,20.0,6.569702332370487,sub 1500 school,True,Football,Saint Paul Minnesota US,,4.0,1978.0,July,Not Ranked,0,3000,0,0,0,0
Dan Castellaneta,M,1.78,,32.0,6.566375858627115,sub 1500 school,False,,Chicago Illinois US,,,1957.0,October,Not Ranked,0,3000,0,0,0,0
Eva Mendes,F,1.68,Cuban Americans,24.0,6.5635972869630566,Did not go,True,,Miami Florida US,,2.0,1974.0,March,Not Ranked,0,3000,0,0,0,0
Ben Affleck,M,1.89,Scottish Americans,19.0,6.562301040472941,Did not go,True,Basketball,Berkeley California US,,3.0,1972.0,August,Not Ranked,0,3000,0,0,0,0
John Michael Higgins,M,1.8,,34.0,6.554448638588156,sub 1500 school,True,Track,Boston Massachusetts US,,2.0,1963.0,February,Not Ranked,0,3000,0,0,0,0
Michael J. Fox,M,1.63,Canadian Americans,24.0,6.527428543469401,Did not go,True,,Edmonton Alberta Canada,CanadaUnited States from 2000,4.0,1961.0,June,Not Ranked,0,3000,0,0,0,0
Rachel McAdams,F,1.65,,26.0,6.526007056370421,York University,True,Soccer,London Ontario Canada,,2.0,1978.0,November,353,1,353,0,0,0,0
Paul Walker,M,1.86,Albanian Americans,24.0,6.514004865317192,Did not go,False,,Glendale California US,,,1973.0,September,Not Ranked,0,3000,0,0,0,0
Queen Latifah,F,1.78,African Americans,21.0,6.499523473962933,Did not go,False,Basketball,Newark New Jersey US,,1.0,1970.0,March,Not Ranked,0,3000,0,0,0,0
Jennifer Aniston,F,1.68,Italian Americans,23.0,6.476911511769444,Did not go,False,,Los Angeles California US,,,1969.0,February,Not Ranked,0,3000,0,0,0,0
Woody Allen,M,1.65,Jewish people,48.0,6.474079370622612,Did not go,False,Baseball,New York City US,,5.0,1935.0,December,Not Ranked,0,3000,0,0,0,0
Kathy Bates,F,1.6,,38.0,6.473791364596546,Southern Methodist University,True,,Memphis Tennessee US,,,1948.0,June,1001,1,1001,0,0,0,0
Rob Schneider,M,1.7,American Jews,27.0,6.465738450865835,San Francisco State University,False,,San Francisco California US,,3.0,1963.0,October,1201,1,1201,0,0,0,0
Leslie Mann,F,1.69,,23.0,6.464800528715736,Did not go,False,Dance,San Francisco California US,,,1972.0,March,Not Ranked,0,3000,0,0,0,0
Tim Allen,M,1.8,,41.0,6.453527750463037,Western Michigan University,True,,Denver Colorado US,,2.0,1953.0,June,1001,1,1001,0,0,0,0
Jean Dujardin,M,1.82,,38.0,6.447021037356988,Did not go,True,Track,RueilMalmaison France,,4.0,1972.0,June,Not Ranked,0,3000,0,0,0,0
Keanu Reeves,M,1.86,Irish people,24.0,6.446343069199163,Did not go,True,,Beirut Lebanon,Canada,1.0,1964.0,September,Not Ranked,0,3000,0,0,0,0
Philip Baker Hall,M,1.68,,56.0,6.425951166233708,Did not go,True,,Toledo Ohio US,,4.0,1931.0,September,Not Ranked,0,3000,0,0,0,0
Sala Baker,M,1.88,,25.0,6.421470969831975,Did not go,False,,Wellington New Zealand,,,1976.0,September,Not Ranked,0,3000,0,0,0,0
Warwick Davis,M,1.067,English people,11.0,6.411842515404095,Did not go,False,,Epsom Surrey England,,3.0,1970.0,February,Not Ranked,0,3000,0,0,0,0
Jude Law,M,1.82,English people,24.0,6.410013233898001,Did not go,False,,London England,,7.0,1972.0,December,Not Ranked,0,3000,0,0,0,0
Antonio Banderas,M,1.74,,31.0,6.408271111131634,Did not go,True,Football,Málaga Spain,,1.0,1960.0,August,Not Ranked,0,3000,0,0,0,0
Chris Cooper,M,1.78,,44.0,6.407979818147541,"University of Missouri, Kansas City",True,Dance,Kansas City Missouri US,,1.0,1951.0,July,1001,1,1001,0,0,0,0
Kristen Wiig,F,1.65,Irish Americans,33.0,6.405213094896849,sub 1500 school,False,Baseball,Canandaigua New York US,,2.0,1973.0,August,Not Ranked,0,3000,0,0,0,0
Bernie Mac,M,1.892,African Americans,36.0,6.402420644387403,Did not go,False,,Chicago Illinois,,1.0,1957.0,October,Not Ranked,0,3000,0,0,0,0
Bill Hader,M,1.85,,23.0,6.400768227425672,Specialised Arts School,False,Dance,Tulsa Oklahoma US,,3.0,1978.0,June,Not Ranked,0,3000,0,0,0,1
Clark Gregg,M,1.75,,27.0,6.400394480084671,New York University (NYU),True,,Boston Massachusetts US,,1.0,1962.0,April,38,1,38,0,0,0,0
Marisa Tomei,F,1.64,Italian Americans,26.0,6.396466769580767,Boston University,True,Dance,New York City US,,,1964.0,December,93,1,93,0,0,0,0
Jake Gyllenhaal,M,1.83,Swedish Americans,10.0,6.38614069981722,Columbia University,False,,Los Angeles California US,,,1980.0,December,23,1,23,0,0,0,0
Clive Owen,M,1.89,English people,36.0,6.379709816993738,Specialised Drama School,False,,Coventry England,,2.0,1964.0,October,Not Ranked,0,3000,1,0,0,0
Cillian Murphy,M,1.75,British,26.0,6.353566086032914,University College Cork,True,,Cork Ireland,,2.0,1976.0,May,292,1,292,0,0,0,0
Zooey Deschanel,F,1.66,Irish Americans,19.0,6.35287208991432,Northwestern University,True,,Los Angeles California US,,2.0,1980.0,January,47,1,47,0,0,0,0
Penelope Ann Miller,F,1.7,,23.0,6.350620526252117,Did not go,True,,Los Angeles California US,,2.0,1964.0,January,Not Ranked,0,3000,0,0,0,0
Jon Voight,M,1.892,Slovak Americans,46.0,6.345660157407745,sub 1500 school,True,,Yonkers New York US,,,1938.0,December,Not Ranked,0,3000,0,0,0,0
David Thewlis,M,1.89,English people,31.0,6.345372884490739,Specialised Drama School,False,,Blackpool Lancashire England,,1.0,1963.0,March,Not Ranked,0,3000,1,0,0,0
Paul Giamatti,M,1.74,Irish Americans,28.0,6.344241399555961,Yale University,True,Baseball,New Haven Connecticut US,,1.0,1967.0,June,16,1,16,0,0,0,0
Mila Kunis,F,1.63,Russian Americans,17.0,6.338115492757234,Did not go,False,,Chernovtsi Ukrainian SSR Soviet Union now Chernivtsi Ukraine,,2.0,1983.0,August,Not Ranked,0,3000,0,0,0,0
William Forsythe,M,1.83,,28.0,6.333282856024433,Did not go,False,,,,,1955.0,June,Not Ranked,0,3000,0,0,0,0
Rene Russo,F,1.73,Italian Americans,35.0,6.329114067173692,Did not go,True,,Burbank California US,,1.0,1954.0,February,Not Ranked,0,3000,0,0,0,0
Imelda Staunton,F,1.52,English people,37.0,6.305917419407113,Specialised Drama School,True,,Archway London England,,,1956.0,January,Not Ranked,0,3000,1,0,0,0
Anthony Hopkins,M,1.74,Irish migration to Great Britain,46.0,6.297537580346323,Specialised Drama School,False,,Port Talbot Glamorgan Wales,United KingdomUnited States1,1.0,1937.0,December,Not Ranked,0,3000,1,0,0,0
Tom Hardy,M,1.78,English people,24.0,6.296453276798374,Did not go,False,,London England,,3.0,1977.0,September,Not Ranked,0,3000,0,0,0,0
Laura Linney,F,1.7,,28.0,6.279660128041271,Brown University,True,,New York City US,,1.0,1964.0,February,73,1,73,0,0,0,0
Clancy Brown,M,1.918,,28.0,6.278359804169406,Northwestern University,False,,Urbana Ohio US,,2.0,1959.0,January,47,1,47,0,0,0,0
Leonardo DiCaprio,M,1.83,Russian Americans,20.0,6.272825064081153,Did not go,False,Dance,Los Angeles California US,,,1974.0,November,Not Ranked,0,3000,0,0,0,0
Milla Jovovich,F,1.74,Serbian Americans,15.0,6.26553668398163,Did not go,False,,Kiev Ukrainian SSR Soviet Union,United States from 1994,3.0,1975.0,December,Not Ranked,0,3000,0,0,0,0
Christian Slater,M,1.74,English Americans,18.0,6.264115418976894,Colorado School of Mines,False,,New York City US,,4.0,1969.0,August,465,1,465,0,0,0,0
Ian Holm,M,1.651,English people,49.0,6.26389761992375,Specialised Drama School,True,,Goodmayes Essex England,,5.0,1931.0,September,Not Ranked,0,3000,1,0,0,0
David Cross,M,1.75,British Americans,32.0,6.259306575752749,sub 1500 school,False,,Roswell Georgia,,1.0,1964.0,April,Not Ranked,0,3000,0,0,0,0
Anthony Anderson,M,1.78,African Americans,28.0,6.248191276835968,Howard University,True,,Compton California US,,2.0,1970.0,August,1001,1,1001,0,0,0,0
Barbra Streisand,F,1.65,American Jews,38.0,6.233943858803457,Did not go,False,,New York City US,,,1942.0,April,Not Ranked,0,3000,0,0,0,0
Mark Williams,M,1.85,English people,37.0,6.233529316937919,Did not go,False,,,,,1959.0,August,Not Ranked,0,3000,0,0,0,0
John Krasinski,M,1.91,Polish Americans,24.0,6.230980819160273,Brown University,True,Basketball,Newton Massachusetts US,,2.0,1979.0,October,73,1,73,0,0,0,0
Gary Cole,M,1.8,,29.0,6.228529557635238,Illinois State University,True,,Park Ridge Illinois US,,1.0,1956.0,September,1401,1,1401,0,0,0,0
Ryan Phillippe,M,1.75,French Americans,21.0,6.228190453789132,Did not go,False,,New Castle Delaware US,,3.0,1974.0,September,Not Ranked,0,3000,0,0,0,0
Freddie Highmore,M,1.78,English people,12.0,6.2190168671555535,University of Cambridge,False,,London England1,,,1992.0,February,2,1,2,0,0,0,0
Ryan Reynolds,M,1.88,,26.0,6.218414396874603,Did not go,False,,Vancouver British Columbia Canada,CanadaUnited States,4.0,1976.0,October,Not Ranked,0,3000,0,0,0,0
Kevin James,M,1.73,,38.0,6.215575733763804,Did not go,False,Football,Mineola New York US,,4.0,1965.0,April,Not Ranked,0,3000,0,0,0,0
Luke Wilson,M,1.83,Irish Americans,24.0,6.214629612701031,sub 1500 school,False,,Dallas Texas US,,,1971.0,September,Not Ranked,0,3000,0,0,0,0
Orlando Bloom,M,1.791,English people,19.0,6.209737871793079,Specialised Drama School,True,,Canterbury Kent England,,2.0,1977.0,January,Not Ranked,0,3000,1,0,0,0
Asa Butterfield,M,1.47,,14.0,6.196703807440202,Did not go,True,,London England,,,1997.0,April,Not Ranked,0,3000,0,0,0,0
Tom Sizemore,M,1.8,Welsh people,27.0,6.192256819906345,Temple University,True,Dance,Detroit Michigan US,,2.0,1961.0,November,721,1,721,0,0,0,0
Michael Jeter,M,1.63,White Americans,36.0,6.191307656569348,sub 1500 school,True,,Lawrenceburg Tennessee US,,,1952.0,August,Not Ranked,0,3000,0,0,0,0
Sam Rockwell,M,1.75,,21.0,6.1805029481004405,sub 1500 school,False,,Daly City California US,,,1968.0,November,Not Ranked,0,3000,0,0,0,0
Michael Douglas,M,1.78,Scotch-Irish Americans,39.0,6.179237189772403,"University of California, Santa Barbara (UCSB)",True,,New Brunswick New Jersey US,United StatesUnited Kingdom Bermuda1,3.0,1944.0,September,163,1,163,0,0,0,0
Salma Hayek,F,1.57,Mexicans,29.0,6.177357101466134,Universidad Iberoamericana IBERO,False,,Coatzacoalcos Veracruz Mexico,MexicoUnited StatesFrance,1.0,1966.0,September,691,1,691,0,0,0,0
Jeremy Renner,M,1.753,,31.0,6.174791777917124,sub 1500 school,False,,Modesto California US,,1.0,1971.0,January,Not Ranked,0,3000,0,0,0,0
Kristin Scott Thomas,F,1.676,English people,33.0,6.172158271698337,Specialised Drama School,True,,Redruth Cornwall England,United Kingdom France,3.0,1960.0,May,Not Ranked,0,3000,1,0,0,0
Mark Strong,M,1.88,,42.0,6.1681417100295794,Royal Holloway University of London,True,Football,London England,,2.0,1963.0,August,413,1,413,0,0,0,0
Jeremy Piven,M,1.78,American Jews,20.0,6.167830968189211,Did not go,False,,New York City US,,,1965.0,July,Not Ranked,0,3000,0,0,0,0
Matt Stone,M,1.87,Irish Americans,26.0,6.160856115871019,University of Colorado Boulder,False,,Houston Texas US,,2.0,1971.0,May,264,1,264,0,0,0,0
Chuck Norris,M,1.78,Cherokee,40.0,6.15315995094621,Did not go,False,,Ryan Oklahoma US,,5.0,1940.0,March,Not Ranked,0,3000,0,0,0,0
Viola Davis,F,1.651,African Americans,37.0,6.148830656234565,Specialised Music School,True,,St Matthews South Carolina US,,1.0,1965.0,August,Not Ranked,0,3000,0,0,0,0
Blythe Danner,F,1.7,Dutch Americans,44.0,6.146648552530272,sub 1500 school,True,,Philadelphia Pennsylvania US,,,1943.0,February,Not Ranked,0,3000,0,0,0,0
